state,year,quarter,registered_users,app_opens
tamil-nadu,2023,2,4156440,32631451
tamil-nadu,2023,3,4447309,37870768
tamil-nadu,2023,4,5656086,42050018
telangana,2018,1,1368046,11166088
telangana,2018,2,1584047,13963438
telangana,2018,3,1893369,12476136
telangana,2018,4,2119349,18535925
telangana,2019,1,2076399,14928593
telangana,2019,2,2039611,15187143
telangana,2019,3,2028206,18312313
telangana,2019,4,2928320,20861828
telangana,2020,1,2392799,22348867
telangana,2020,2,2558380,21219312
telangana,2020,3,2908928,26643164
telangana,2020,4,3218037,22577590
telangana,2021,1,2583850,21469374
telangana,2021,2,2856875,18795638
telangana,2021,3,3080818,24111870
telangana,2021,4,4021831,31172187
telangana,2022,1,2787808,19477431
telangana,2022,2,3081012,25239520
telangana,2022,3,3561446,28805655
telangana,2022,4,3733972,34903077
telangana,2023,1,3652930,26649239
telangana,2023,2,3706598,34277187
telangana,2023,3,4247143,31248911
telangana,2023,4,4872124,38445514
tripura,2018,1,77079,630860
tripura,2018,2,104945,753094
tripura,2018,3,98890,934109
tripura,2018,4,132791,979005
tripura,2019,1,116765,912263
tripura,2019,2,137298,925856
tripura,2019,3,156794,1288455
tripura,2019,4,158733,1363360
tripura,2020,1,129814,881421
tripura,2020,2,168123,1365239
tripura,2020,3,183528,1381051
tripura,2020,4,214550,1735888
tripura,2021,1,163873,1229544
tripura,2021,2,165248,1400017
tripura,2021,3,210674,1566191
tripura,2021,4,204957,1890350
tripura,2022,1,184439,1565409
tripura,2022,2,202324,1723585
tripura,2022,3,239843,2058854
tripura,2022,4,228532,1739940
tripura,2023,1,225409,1824303
tripura,2023,2,247999,1860842
tripura,2023,3,252368,2245538
tripura,2023,4,307700,2103588
uttar-pradesh,2018,1,1701062,14674947
uttar-pradesh,2018,2,2076208,14521983
uttar-pradesh,2018,3,2297596,21639686
uttar-pradesh,2018,4,2645009,23511576
uttar-pradesh,2019,1,2474460,20147941
uttar-pradesh,2019,2,2779216,19243296
uttar-pradesh,2019,3,3066529,21193315
uttar-pradesh,2019,4,3395704,29081916
uttar-pradesh,2020,1,3178873,25775502
uttar-pradesh,2020,2,2855516,21488988
uttar-pradesh,2020,3,3953946,26857206
uttar-pradesh,2020,4,4300391,38383348
uttar-pradesh,2021,1,3386051,28058103
uttar-pradesh,2021,2,3182675,22062334
uttar-pradesh,2021,3,4217257,34521689
uttar-pradesh,2021,4,4933460,45989962
uttar-pradesh,2022,1,4002352,30082970
uttar-pradesh,2022,2,4047908,28539402
uttar-pradesh,2022,3,4524664,35843689
uttar-pradesh,2022,4,4416647,31761475
uttar-pradesh,2023,1,3704842,30191066
uttar-pradesh,2023,2,4689356,37383467
uttar-pradesh,2023,3,5006386,35886661
uttar-pradesh,2023,4,4913202,46527297
uttarakhand,2018,1,252932,1874953
uttarakhand,2018,2,353560,2830077
uttarakhand,2018,3,385028,3022797
uttarakhand,2018,4,482454,3177297
uttarakhand,2019,1,402142,3524302
uttarakhand,2019,2,486627,3956290
uttarakhand,2019,3,575491,4596633
uttarakhand,2019,4,564625,4132847
uttarakhand,2020,1,547923,4365675
uttarakhand,2020,2,567182,3802593
uttarakhand,2020,3,546232,5007836
uttarakhand,2020,4,652215,5110172
uttarakhand,2021,1,560662,3748206
uttarakhand,2021,2,692432,6149887
uttarakhand,2021,3,665035,5445089
uttarakhand,2021,4,886314,6532987
uttarakhand,2022,1,657701,5501264
uttarakhand,2022,2,728649,5542742
uttarakhand,2022,3,859730,6338333
uttarakhand,2022,4,803397,7116033
uttarakhand,2023,1,678684,6288999
uttarakhand,2023,2,839365,6191666
uttarakhand,2023,3,796679,5862616
uttarakhand,2023,4,1025614,7663725
west-bengal,2018,1,933654,7948963
west-bengal,2018,2,1071132,7609505
west-bengal,2018,3,1320026,12309033
west-bengal,2018,4,1452836,9651973
west-bengal,2019,1,1474079,11354886
west-bengal,2019,2,1617307,14537168
west-bengal,2019,3,1678100,13015708
west-bengal,2019,4,1971092,16128625
west-bengal,2020,1,1755255,13691371
west-bengal,2020,2,1904858,14391547
west-bengal,2020,3,1992590,13556287
west-bengal,2020,4,2283834,20728353
west-bengal,2021,1,2046841,15496521
west-bengal,2021,2,2410387,20034065
west-bengal,2021,3,2134764,16975726
west-bengal,2021,4,2668764,20333471
west-bengal,2022,1,2278886,15168438
west-bengal,2022,2,2251202,15239604
west-bengal,2022,3,2407678,17664222
west-bengal,2022,4,3037281,22988403
west-bengal,2023,1,2279481,18865414
west-bengal,2023,2,2709727,21954651
west-bengal,2023,3,3041232,22533552
west-bengal,2023,4,3025823,19866316
